Cnt:   1,interval:   1, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -445, -919,            dc:  500,  500,  500,max:    0,    0,    0,min:  -13, -445, -919,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   2,interval:   2, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -445, -919,            dc:  500,  500,  500,max:    0,    0,    0,min:  -13, -445, -919,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   3,interval:   3, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -452, -912,            dc:  500,  500,  500,max:    0,    0,    0,min:  -13, -452, -919,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   4,interval:   4, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -13, -452, -912,            dc:  500,  500,  500,max:    0,    0,    0,min:  -13, -452, -919,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   5,interval:   5, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -14, -469, -920,            dc:  500,  500,  500,max:    0,    0,    0,min:  -14, -469, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   6,interval:   6, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -14, -469, -920,            dc:  500,  500,  500,max:    0,    0,    0,min:  -14, -469, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   7,interval:   7, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -24, -467, -913,            dc:  500,  500,  500,max:    0,    0,    0,min:  -24, -469, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   8,interval:   8, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -24, -467, -913,            dc:  500,  500,  500,max:    0,    0,    0,min:  -24, -469, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:   9,interval:   9, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -472, -915,            dc:  500,  500,  500,max:    0,    0,    0,min:  -24, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  10,interval:  10, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -16, -472, -915,            dc:  500,  500,  500,max:    0,    0,    0,min:  -24, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  11,interval:  11, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -33, -466, -909,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
